CatalogIndex,Architecture,NORAD_CAT_ID,ObjectName,TLEFile,X_TEME_km,Y_TEME_km,Z_TEME_km,VX_TEME_kms,VY_TEME_kms,VZ_TEME_kms,X_ECEF_m,Y_ECEF_m,Z_ECEF_m,VX_ECEF_mps,VY_ECEF_mps,VZ_ECEF_mps,Azimuth_deg,Elevation_deg,SlantRange_km,Mask_deg,Visible,uX,uY,uZ,TLEAge_h,SGP4Error
11,LEO,65175,STARLINK-34949,tle\LEO\65175\65175.tle,414.079537713177,6319.36384162888,-2609.96432189647,1.23098278227651,2.79843202979324,6.98757901852381,4566254.80341694,-4388060.17914832,-2609976.99653777,1027.17446565505,-3077.3885383336,6987.57247048399,299.735833397304,80.4062965591807,480.878513591036,5,1,0.586268911385579,-0.749746004925127,-0.306870806108336,7.73229047656059,0
12,LEO,65279,STARLINK-35023,tle\LEO\65279\65279.tle,1113.45438318625,6527.13838249036,-2053.03322269487,0.618324775767524,-2.35650183918795,-7.18063122443935,4274574.60318272,-5056804.57193685,-2053046.76619125,-2569.37205733941,733.635932799384,-7180.62716195647,310.591959585665,25.910177411834,1107.74212808274,5,1,-0.00880717390370997,-0.929170346702616,0.369546885383127,8.84810376539826,0
13,LEO,65348,STARLINK-34859,tle\LEO\65348\65348.tle,-121.585972670198,6336.69453754828,-2584.19410283968,-4.89748833278306,-2.286094122988,-5.38754903243715,4924622.62050169,-3989549.97443109,-2584206.45832634,1115.97675216103,4859.35160625135,-5387.54163912631,82.800130821656,43.9635267478038,652.878450010093,5,1,0.980721510637374,0.0581631393982011,-0.186553927293135,5.59269215539098,0
14,LEO,65388,STARLINK-34957,tle\LEO\65388\65388.tle,797.657133143807,6708.47731662999,-1552.84825947212,1.17698403740708,1.54851048967453,7.32996906003364,4616721.53928341,-4932115.62290637,-1552861.95063805,66.3541317420711,-2234.4838623303,7329.96503672917,339.804815231279,19.4265851717204,1325.15935182921,5,1,0.250830859005284,-0.682628988678676,0.686368373387206,6.32215415686369,0
15,LEO,66267,STARLINK-35550,tle\LEO\66267\66267.tle,1007.14891220136,5893.22379693745,-3333.54875334338,-5.61692533040866,-1.77781511335597,-4.84747928538333,3858246.07382653,-4567087.84144314,-3333560.98270301,1926.1050658002,5159.86695790051,-4847.4722323854,221.297059703096,20.7342459273151,1109.76704196665,5,1,-0.38394058465063,-0.486196099100091,-0.784985974828841,4.06999079883099,0
16,LEO,66864,STARLINK-36070,tle\LEO\66864\66864.tle,139.908776393158,6451.95616292355,-2334.71151411247,-5.961353655904,-1.49846319809608,-4.50765067587446,4844301.48152959,-4263800.69839608,-2334724.2682029,2383.77428356059,5171.40212245911,-4507.64409498793,31.9446143440148,49.9606962091958,621.045683425491,5,1,0.901657987051399,-0.380450697867735,0.205597035188676,8.76064008101821,0
17,LEO,67011,STARLINK-36167,tle\LEO\67011\67011.tle,1292.96364893053,5974.15628480323,-3317.09778819156,-2.17476970178932,3.87181796538653,6.12987026510064,3736001.18650819,-4837820.79155057,-3317110.36481835,4009.52450933625,-1103.68194147103,6129.86399835461,233.027618200318,21.4604501520916,1299.13846327732,5,1,-0.422071634191904,-0.623719010502804,-0.657898268388038,9.47758080437779,0
18,LEO,67734,STARLINK-36749,tle\LEO\67734\67734.tle,636.137936725057,6679.20948919699,-1372.16916740292,0.839013775301043,-1.5953256865081,-7.41374761481823,4698399.75813333,-4789729.99911166,-1372182.69464153,-2109.93418930504,43.5449917533231,-7413.74526724913,348.406801871446,13.9357374939901,1393.2000427376,5,1,0.297207195439421,-0.547090540483215,0.78253423151503,8.6631189621985,0
19,LEO,67736,STARLINK-36317,tle\LEO\67736\67736.tle,808.523485705062,6081.77056445717,-3045.69413968092,0.627792250974613,-3.46533001348273,-6.76470666235848,4130415.00746074,-4536655.0829438,-3045706.60810663,-3385.57099873722,1451.29161064219,-6764.70045228777,226.913263585456,34.2779778058556,789.392601949281,5,1,-0.194979878078918,-0.644966328487842,-0.738918995737181,8.72836824506521,0
20,LEO,67950,STARLINK-36887,tle\LEO\67950\67950.tle,1521.89956406067,6454.88025750073,-1763.65627762853,-5.32085314091103,2.56789903278933,4.81794537637887,3956163.00140672,-5322629.37898669,-1763669.94860933,5003.863635357,2126.4603781396,4817.94375242677,307.470157181084,12.472383900209,1507.72354252998,5,1,-0.21765772708425,-0.858981045082294,0.463440047934841,10.8882544822991,0
