PoolIndex,Label,Architecture,NORAD_CAT_ID,ObjectName,Elevation_deg,SlantRange_km,Frequency_GHz,EIRP_PSD_dBW_MHz,ReceiverFoM_dBK,AtmosphericGasLoss_dB,AdditionalLoss_dB,FSPL_dB,EIRP_positioning_dBW,CN0_dBHz,SigmaRho_m,VarianceRho_m2,ReceiverChain,ParameterSource
14,MEO2,MEO,40081,O3B FM6,50.4747772802389,8934.77359425547,20,29.7,18.4,0.740962520969621,0,197.492270953837,9.7987563371216,58.5655228623151,0.389021908307775,0.151338045143423,O3b mPOWER mP85L terminal,O3b mPOWER + mP85L reference
15,MEO3,MEO,44115,O3B FM18,40.5135556648317,9453.87899981025,20,29.7,18.4,0.879791847222677,0,197.982800702634,9.7987563371216,57.9361637872645,0.418255840040631,0.174937947728094,O3b mPOWER mP85L terminal,O3b mPOWER + mP85L reference
16,MEO4,MEO,43231,O3B FM15,31.4629433849282,10045.5482123742,20,29.7,18.4,1.09501033455318,0,198.510072760077,9.7987563371216,57.1936732424916,0.455581983307328,0.207554943514239,O3b mPOWER mP85L terminal,O3b mPOWER + mP85L reference
17,MEO5,MEO,43234,O3B FM13,15.9690137846431,11317.2582190465,20,29.7,18.4,2.07743039410545,0,199.545424413991,9.7987563371216,55.1759015290248,0.574718433063963,0.330301277303497,O3b mPOWER mP85L terminal,O3b mPOWER + mP85L reference
18,MEO6,MEO,40080,O3B FM7,15.966575544296,11314.7800522445,20,29.7,18.4,2.07773937979725,0,199.543522235922,9.7987563371216,55.1774947214025,0.574613026122859,0.33018012979007,O3b mPOWER mP85L terminal,O3b mPOWER + mP85L reference
19,MEO7,MEO,40079,O3B FM3,8.11451396242544,12090.7024046762,20,29.7,18.4,4.04909100636144,0,200.119630548549,9.7987563371216,52.6300347822107,0.770457103972038,0.59360414906098,O3b mPOWER mP85L terminal,O3b mPOWER + mP85L reference
20,GEO1,GEO,41589,EUTE 117W B,6.27790923471064,40986.5351338316,19.95,37.9151498112135,20.5205999132796,5.12729057647945,0,210.701682121428,18.0139061483351,51.3055333637073,0.897374108397856,0.805280290422847,Representative GSO Ka earth station,ITU-R S.1328-5 representative GSO Ka system
21,GEO2,GEO,41904,STARONE D1,37.3455227496189,37984.9731398669,19.95,37.9151498112135,20.5205999132796,0.924259870275027,0,210.041094473252,18.0139061483351,56.1691517180879,0.512616542565435,0.26277571971174,Representative GSO Ka earth station,ITU-R S.1328-5 representative GSO Ka system
22,GEO3,GEO,42692,SGDC,45.5833905310938,37368.267443763,19.95,37.9151498112135,20.5205999132796,0.784962091413857,0,209.898917250969,18.0139061483351,56.4506267192319,0.49627096512114,0.246284870822268,Representative GSO Ka earth station,ITU-R S.1328-5 representative GSO Ka system
23,GEO4,GEO,43562,TELSTAR 19V,55.2029571956807,36758.4167144551,19.95,37.9151498112135,20.5205999132796,0.682768269020628,0,209.755993937771,18.0139061483351,56.6957438548235,0.48246188608161,0.232769471521424,Representative GSO Ka earth station,ITU-R S.1328-5 representative GSO Ka system
24,GEO5,GEO,43175,SES 14,62.8111617872626,36383.2948543781,19.95,37.9151498112135,20.5205999132796,0.63032189888848,0,209.666898520777,18.0139061483351,56.8372856419489,0.474663591465392,0.225305525062825,Representative GSO Ka earth station,ITU-R S.1328-5 representative GSO Ka system
25,GEO6,GEO,43228,HISPASAT 30W-6,59.335087591415,36532.8900917548,19.95,37.9151498112135,20.5205999132796,0.651822486470221,0,209.702538606617,18.0139061483351,56.7801449685275,0.477796489557971,0.22828948543392,Representative GSO Ka earth station,ITU-R S.1328-5 representative GSO Ka system
26,GEO7,GEO,38087,SES 4,54.0922879744417,36819.9953476362,19.95,37.9151498112135,20.5205999132796,0.69222290121634,0,209.770532586316,18.0139061483351,56.6717505740824,0.483796446712206,0.234059001851357,Representative GSO Ka earth station,ITU-R S.1328-5 representative GSO Ka system
